# <defaultcodec>utf-8</defaultcodec>
Statistic export
Line 1: Line strain (technical) [%], Line 2: Line strain (technical) [%], Line 3: Line strain (technical) [%], Time [s], areaGB1 (Average): Epsilon X [%], areaGB1 (Maximum): Epsilon X [%], areaGB1 (Minimum): Epsilon X [%], areaGB1 (Points): Epsilon X, areaGB1 (Sigma): Epsilon X [%]
-2.44484488e-01, -2.38871604e-01, -1.88106035e-01, 7.99990800e+01, 7.77721477e-02, 1.70832443e+00, -1.31086516e+00, 1.00800000e+03, 1.87517178e-01
-2.44004870e-01, -2.36894586e-01, -1.89994867e-01, 8.09933280e+01, 7.69999522e-02, 1.63714552e+00, -1.23051953e+00, 1.00800000e+03, 1.89292966e-01
-2.56099937e-01, -2.37307785e-01, -2.12723539e-01, 8.20011040e+01, 8.65760297e-02, 1.70496428e+00, -1.23209822e+00, 1.00800000e+03, 1.87490892e-01
-2.63137680e-01, -2.54771847e-01, -2.11315737e-01, 8.29961280e+01, 8.80068845e-02, 1.79822588e+00, -1.34906280e+00, 1.00800000e+03, 1.97418667e-01
-2.75964321e-01, -2.67498019e-01, -2.21594231e-01, 8.39995770e+01, 8.50681324e-02, 1.91362047e+00, -1.44624376e+00, 1.00800000e+03, 2.01665620e-01
-2.70151583e-01, -2.55917225e-01, -2.13802039e-01, 8.49971050e+01, 9.22064113e-02, 1.73392665e+00, -1.27786374e+00, 1.00800000e+03, 1.98660183e-01
-2.82298688e-01, -2.68024570e-01, -2.19521629e-01, 8.59981200e+01, 9.88014090e-02, 1.74090016e+00, -1.17147541e+00, 1.00800000e+03, 2.15799268e-01
-2.86237793e-01, -2.68760716e-01, -2.05176434e-01, 8.69942430e+01, 9.85845587e-02, 1.77912307e+00, -1.29053533e+00, 1.00800000e+03, 2.07559433e-01
-2.94182332e-01, -2.83069495e-01, -2.42901620e-01, 8.79971670e+01, 1.07101932e-01, 1.73731768e+00, -1.15998590e+00, 1.00800000e+03, 2.09107311e-01
-3.12367327e-01, -2.83267621e-01, -2.47948210e-01, 8.89982540e+01, 1.05046454e-01, 1.54631746e+00, -1.04675519e+00, 1.00800000e+03, 2.02708823e-01
-3.16303419e-01, -2.95457157e-01, -2.42631664e-01, 8.99933100e+01, 1.09838434e-01, 1.82050705e+00, -1.31831241e+00, 1.00900000e+03, 2.16193895e-01
-3.18657810e-01, -3.05638225e-01, -2.24087384e-01, 9.09972370e+01, 1.13065303e-01, 1.78623867e+00, -1.31760657e+00, 1.00800000e+03, 2.12502581e-01
-3.38458111e-01, -3.04898989e-01, -2.51215248e-01, 9.19971660e+01, 1.14542735e-01, 1.71832144e+00, -1.22903752e+00, 1.00800000e+03, 2.21646165e-01
-3.30113551e-01, -3.07388090e-01, -2.39238133e-01, 9.29970780e+01, 1.25351455e-01, 1.72396302e+00, -1.21517920e+00, 1.00900000e+03, 2.47441287e-01
-3.28955050e-01, -3.06459681e-01, -2.21505223e-01, 9.40009110e+01, 1.35621041e-01, 1.56293035e+00, -1.07223511e+00, 1.00900000e+03, 2.41166690e-01
-3.31610588e-01, -3.25793312e-01, -2.36101896e-01, 9.49982420e+01, 1.46017732e-01, 1.65317142e+00, -1.17764843e+00, 1.00800000e+03, 2.59269865e-01
-3.51742032e-01, -3.18510774e-01, -2.45121317e-01, 9.60038450e+01, 1.58657738e-01, 1.60932779e+00, -1.21315849e+00, 1.00900000e+03, 3.01792593e-01
-3.52641649e-01, -3.27476004e-01, -2.60081270e-01, 9.70020380e+01, 1.63492220e-01, 1.83170843e+00, -1.35280561e+00, 1.00800000e+03, 3.04720415e-01
-3.66152141e-01, -3.40826615e-01, -2.52286706e-01, 9.79992060e+01, 1.86596711e-01, 1.66658330e+00, -1.17761719e+00, 1.00800000e+03, 3.28357066e-01
-3.81368014e-01, -3.64139266e-01, -2.61390442e-01, 9.90000540e+01, 1.98452903e-01, 1.82771444e+00, -1.18755877e+00, 1.00700000e+03, 3.55865521e-01
-3.71553526e-01, -3.54634831e-01, -2.49205549e-01, 1.00002911e+02, 2.07279621e-01, 1.96853805e+00, -1.20307517e+00, 1.00900000e+03, 3.90838238e-01
-3.81784521e-01, -3.54090279e-01, -2.45803714e-01, 1.00999071e+02, 2.18143440e-01, 2.14570856e+00, -1.09845543e+00, 1.00800000e+03, 4.06138025e-01
-3.95837235e-01, -3.85862273e-01, -2.73241499e-01, 1.02001983e+02, 2.29387756e-01, 2.35381985e+00, -1.02203250e+00, 1.00900000e+03, 4.29665535e-01
-4.18799399e-01, -4.00227977e-01, -2.97027801e-01, 1.03001129e+02, 2.38525155e-01, 2.39076614e+00, -1.14644372e+00, 1.00900000e+03, 4.56556585e-01
-4.06075564e-01, -3.78949011e-01, -2.73088926e-01, 1.03998280e+02, 2.38701587e-01, 2.51021862e+00, -1.19012702e+00, 1.00900000e+03, 4.66230410e-01
-4.07946444e-01, -3.91334849e-01, -2.77133757e-01, 1.05004056e+02, 2.51146169e-01, 2.68270445e+00, -9.36194181e-01, 1.00900000e+03, 4.90069508e-01
-4.15660540e-01, -4.05384445e-01, -2.76035121e-01, 1.06004037e+02, 2.57613054e-01, 2.73385525e+00, -1.34571111e+00, 1.00900000e+03, 5.10757865e-01
-4.29592961e-01, -4.24608328e-01, -2.77618462e-01, 1.06999277e+02, 2.66141198e-01, 2.89438581e+00, -1.20138693e+00, 1.00900000e+03, 5.29154717e-01
-4.36413943e-01, -4.29541296e-01, -2.87796265e-01, 1.08002804e+02, 2.74320949e-01, 2.97329354e+00, -1.05022490e+00, 1.00900000e+03, 5.40783751e-01
-4.43822334e-01, -4.34755353e-01, -3.00118951e-01, 1.09003041e+02, 2.81260842e-01, 3.08422327e+00, -1.23088872e+00, 1.00900000e+03, 5.55161326e-01
-4.55072306e-01, -4.34013408e-01, -2.94557959e-01, 1.09997282e+02, 2.89331538e-01, 3.23831177e+00, -1.23968792e+00, 1.00900000e+03, 5.76025983e-01
-4.55862877e-01, -4.39133519e-01, -3.01948766e-01, 1.11002035e+02, 2.97119446e-01, 3.38940787e+00, -1.11125898e+00, 1.00900000e+03, 5.94300753e-01
-4.62199964e-01, -4.54264931e-01, -3.07825326e-01, 1.12004034e+02, 3.03951135e-01, 3.51791358e+00, -1.27864945e+00, 1.00900000e+03, 6.13329671e-01
-4.76732172e-01, -4.70403377e-01, -3.15969781e-01, 1.12999293e+02, 3.10691670e-01, 3.52432036e+00, -1.31827235e+00, 1.00800000e+03, 6.21414931e-01
-4.80196836e-01, -4.71125447e-01, -3.09460876e-01, 1.14004040e+02, 3.17260397e-01, 3.62979174e+00, -1.28270161e+00, 1.00900000e+03, 6.39951013e-01
-4.93876266e-01, -4.96436820e-01, -3.15229700e-01, 1.15000183e+02, 3.21739157e-01, 3.71348619e+00, -1.36142135e+00, 1.00900000e+03, 6.48491243e-01
-5.06591652e-01, -5.00011413e-01, -3.21116868e-01, 1.15997281e+02, 3.27581970e-01, 3.67530417e+00, -1.56425238e+00, 1.00800000e+03, 6.56111452e-01
-5.10261367e-01, -4.91853221e-01, -3.23851172e-01, 1.17002137e+02, 3.32933525e-01, 3.66195750e+00, -1.50596070e+00, 1.00900000e+03, 6.66170758e-01
-5.18577927e-01, -5.18989878e-01, -3.42322094e-01, 1.17999039e+02, 3.37819421e-01, 3.81361604e+00, -1.35663450e+00, 1.00900000e+03, 6.72585750e-01
-5.32955770e-01, -5.25436834e-01, -3.43558445e-01, 1.19002093e+02, 3.42918331e-01, 3.94813371e+00, -1.66239464e+00, 1.00900000e+03, 6.86515464e-01
