# <defaultcodec>utf-8</defaultcodec>
Statistic export
Line 1: Line strain (technical) [%], Line 2: Line strain (technical) [%], Line 3: Line strain (technical) [%], Time [s], areaGB1 (Average): Epsilon X [%], areaGB1 (Maximum): Epsilon X [%], areaGB1 (Minimum): Epsilon X [%], areaGB1 (Points): Epsilon X, areaGB1 (Sigma): Epsilon X [%]
-2.58836086e-01, -2.19313372e-01, -2.78468970e-01, 9.40060480e+01, 3.97495612e-02, 5.78311980e-01, -6.21851802e-01, 7.39000000e+02, 1.15795907e-01
-2.70994849e-01, -2.31407763e-01, -2.74427303e-01, 9.50042810e+01, 4.23315330e-02, 5.33835471e-01, -9.05722260e-01, 7.39000000e+02, 1.19507024e-01
-2.62902968e-01, -2.32179941e-01, -2.77170670e-01, 9.60014040e+01, 4.14971804e-02, 5.64924896e-01, -8.81322384e-01, 7.39000000e+02, 1.22623494e-01
-2.82161393e-01, -2.31210764e-01, -2.75641196e-01, 9.70023910e+01, 4.70020923e-02, 6.08272731e-01, -7.88832903e-01, 7.39000000e+02, 1.23113885e-01
-2.91503644e-01, -2.37552053e-01, -2.88705824e-01, 9.80043160e+01, 4.93661330e-02, 6.03270888e-01, -8.40835214e-01, 7.39000000e+02, 1.17775566e-01
-2.85218217e-01, -2.41841527e-01, -2.86946487e-01, 9.90014570e+01, 5.30904171e-02, 5.92411816e-01, -5.95481932e-01, 7.38000000e+02, 1.19846841e-01
-2.92121761e-01, -2.38010079e-01, -2.80773850e-01, 1.00003218e+02, 4.93500122e-02, 6.27935767e-01, -9.47040498e-01, 7.39000000e+02, 1.26866509e-01
-2.91942908e-01, -2.48804194e-01, -3.05584937e-01, 1.01004452e+02, 4.88753202e-02, 6.53998435e-01, -6.31335855e-01, 7.39000000e+02, 1.23237655e-01
-2.87831545e-01, -2.62224592e-01, -3.08327443e-01, 1.01999381e+02, 5.27404649e-02, 5.83596766e-01, -8.70151222e-01, 7.39000000e+02, 1.25602310e-01
-2.95807724e-01, -2.68960758e-01, -3.14183482e-01, 1.03001236e+02, 4.37598640e-02, 5.66725671e-01, -1.28178465e+00, 7.39000000e+02, 1.38188410e-01
-3.16813898e-01, -2.59399478e-01, -3.17326079e-01, 1.04005398e+02, 5.37353385e-02, 6.00814998e-01, -7.53882885e-01, 7.39000000e+02, 1.23889354e-01
-3.09433086e-01, -2.61813863e-01, -3.15955022e-01, 1.04999678e+02, 5.79510912e-02, 6.35313034e-01, -5.75896144e-01, 7.39000000e+02, 1.29410706e-01
-3.55914220e-01, -3.06745315e-01, -3.50868598e-01, 1.05998527e+02, 4.66721201e-02, 6.56856000e-01, -9.77558494e-01, 7.39000000e+02, 1.30528456e-01
-3.44092123e-01, -2.74146285e-01, -3.23289888e-01, 1.07002398e+02, 5.92660233e-02, 6.03656054e-01, -5.43935895e-01, 7.39000000e+02, 1.23476571e-01
-3.23018277e-01, -2.66160072e-01, -3.25382008e-01, 1.08002307e+02, 6.05782627e-02, 6.35610759e-01, -5.21067858e-01, 7.39000000e+02, 1.23490064e-01
-3.32701411e-01, -2.59996418e-01, -3.20411230e-01, 1.09003368e+02, 5.94363338e-02, 6.79205775e-01, -6.87959313e-01, 7.39000000e+02, 1.35202586e-01
-3.56141481e-01, -2.95038798e-01, -3.40848742e-01, 1.10007168e+02, 5.72895338e-02, 6.52213991e-01, -1.01597965e+00, 7.39000000e+02, 1.41574672e-01
-3.29774076e-01, -2.79067617e-01, -3.34427254e-01, 1.11000606e+02, 5.89748984e-02, 6.72490060e-01, -1.28007293e+00, 7.39000000e+02, 1.37095092e-01
-3.65897791e-01, -3.35353049e-01, -3.89900210e-01, 1.12000052e+02, 6.25904461e-02, 6.75517499e-01, -6.38714671e-01, 7.39000000e+02, 1.31644581e-01
-3.55462443e-01, -2.93679449e-01, -3.55091241e-01, 1.13004209e+02, 7.01128260e-02, 7.66730309e-01, -5.68731904e-01, 7.39000000e+02, 1.35558203e-01
-3.57989960e-01, -2.95092293e-01, -3.54442791e-01, 1.14006081e+02, 6.47867539e-02, 6.86819136e-01, -9.37962115e-01, 7.39000000e+02, 1.34529830e-01
-3.82451458e-01, -3.04062031e-01, -3.62604704e-01, 1.15004218e+02, 6.58164171e-02, 6.95762455e-01, -8.10514033e-01, 7.39000000e+02, 1.36779339e-01
-3.68277145e-01, -2.94132386e-01, -3.63130530e-01, 1.16004306e+02, 6.62874223e-02, 7.14997232e-01, -9.88258839e-01, 7.39000000e+02, 1.41395659e-01
-3.91132959e-01, -3.16944338e-01, -3.69812352e-01, 1.17002258e+02, 6.73830784e-02, 6.89080894e-01, -6.75600886e-01, 7.39000000e+02, 1.44336174e-01
-3.74959890e-01, -3.10700604e-01, -3.78231708e-01, 1.18002276e+02, 6.61141008e-02, 6.59038603e-01, -1.12242413e+00, 7.39000000e+02, 1.41542740e-01
-3.96657825e-01, -3.07259303e-01, -3.75682093e-01, 1.19001534e+02, 7.04456014e-02, 6.57410622e-01, -9.96834219e-01, 7.39000000e+02, 1.43203151e-01
-3.77942988e-01, -3.19357161e-01, -3.84463329e-01, 1.20005150e+02, 7.17772891e-02, 6.64278507e-01, -8.49351883e-01, 7.38000000e+02, 1.37549036e-01
-3.87737914e-01, -3.22705659e-01, -3.79954577e-01, 1.21004129e+02, 6.93358610e-02, 7.18231142e-01, -8.52067471e-01, 7.39000000e+02, 1.45913341e-01
-4.08244900e-01, -3.06642802e-01, -3.74004423e-01, 1.21997363e+02, 7.25088044e-02, 7.62039363e-01, -7.72673070e-01, 7.39000000e+02, 1.43249724e-01
-4.04443110e-01, -3.25277128e-01, -3.95167077e-01, 1.23001457e+02, 7.50851095e-02, 7.57315934e-01, -1.09524250e+00, 7.39000000e+02, 1.45115886e-01
-4.31212158e-01, -3.42239747e-01, -3.98067874e-01, 1.23995671e+02, 7.35631760e-02, 6.86262429e-01, -6.56334102e-01, 7.39000000e+02, 1.44115181e-01
-4.27194965e-01, -3.49580250e-01, -4.11914479e-01, 1.25002429e+02, 7.22857265e-02, 7.58860648e-01, -1.46060872e+00, 7.39000000e+02, 1.60391423e-01
-4.17640384e-01, -3.48003924e-01, -4.05593578e-01, 1.26004131e+02, 7.79953483e-02, 7.99796820e-01, -9.87137854e-01, 7.39000000e+02, 1.47056730e-01
-4.41782812e-01, -3.58173690e-01, -4.24012646e-01, 1.27003175e+02, 7.57190240e-02, 7.88190603e-01, -7.93237209e-01, 7.39000000e+02, 1.48109116e-01
-4.27874767e-01, -3.47518554e-01, -4.16187988e-01, 1.28004295e+02, 8.31521597e-02, 6.42188966e-01, -8.27548504e-01, 7.38000000e+02, 1.47507608e-01
-4.68520863e-01, -3.54717143e-01, -4.28030820e-01, 1.29001431e+02, 8.02518054e-02, 8.17457914e-01, -8.24211299e-01, 7.39000000e+02, 1.47694624e-01
-4.30764660e-01, -3.62580744e-01, -4.26568855e-01, 1.30006057e+02, 7.73896616e-02, 7.26693630e-01, -6.65631890e-01, 7.39000000e+02, 1.45115717e-01
-4.40266158e-01, -3.64708906e-01, -4.35226004e-01, 1.31000452e+02, 8.26870266e-02, 8.01360428e-01, -7.22823322e-01, 7.39000000e+02, 1.48366994e-01
-4.44358758e-01, -3.73436067e-01, -4.34986444e-01, 1.32003381e+02, 8.34388062e-02, 7.77527213e-01, -5.36516786e-01, 7.39000000e+02, 1.43405020e-01
-4.56891994e-01, -3.64397374e-01, -4.51064375e-01, 1.32993758e+02, 8.58106309e-02, 7.84118772e-01, -1.17867446e+00, 7.39000000e+02, 1.58067996e-01
-4.81041928e-01, -3.92985447e-01, -4.55432293e-01, 1.34004251e+02, 8.51884367e-02, 7.83154249e-01, -8.19389224e-01, 7.39000000e+02, 1.47900395e-01
-4.58190058e-01, -3.95980246e-01, -4.62972871e-01, 1.35001459e+02, 8.79714568e-02, 8.08722675e-01, -1.10233867e+00, 7.39000000e+02, 1.54462867e-01
-4.70350234e-01, -3.85914042e-01, -4.57932792e-01, 1.36002266e+02, 8.78047341e-02, 7.77263343e-01, -8.51794720e-01, 7.39000000e+02, 1.48600183e-01
-4.89522761e-01, -3.88583667e-01, -4.62948869e-01, 1.37006395e+02, 9.49866419e-02, 8.65709066e-01, -5.12002230e-01, 7.39000000e+02, 1.48425701e-01
-5.22198247e-01, -4.02272630e-01, -4.59191307e-01, 1.38004450e+02, 9.32654668e-02, 8.00633371e-01, -6.95557177e-01, 7.38000000e+02, 1.49547767e-01
-4.92974523e-01, -3.92468391e-01, -4.71868845e-01, 1.39005125e+02, 9.35260521e-02, 8.93059015e-01, -7.03677595e-01, 7.39000000e+02, 1.51916913e-01
-4.99256067e-01, -3.99057387e-01, -4.77852530e-01, 1.40008000e+02, 9.14614376e-02, 8.29830229e-01, -9.34254527e-01, 7.39000000e+02, 1.59219797e-01
-4.99309084e-01, -4.02558531e-01, -4.83647968e-01, 1.41001511e+02, 9.40447121e-02, 9.22478139e-01, -1.04030216e+00, 7.39000000e+02, 1.53706918e-01
-4.98946977e-01, -4.11859020e-01, -4.93081187e-01, 1.42007890e+02, 9.85396120e-02, 9.21757996e-01, -6.94689095e-01, 7.39000000e+02, 1.54001398e-01
-5.14452610e-01, -4.15154399e-01, -4.86900906e-01, 1.43006370e+02, 9.57078741e-02, 9.16851580e-01, -9.19324517e-01, 7.39000000e+02, 1.56811763e-01
-5.12684065e-01, -4.07374175e-01, -4.89999836e-01, 1.44010818e+02, 9.85613026e-02, 8.86800349e-01, -5.38876891e-01, 7.39000000e+02, 1.56908221e-01
-5.28377500e-01, -4.21747281e-01, -5.08289545e-01, 1.45008865e+02, 9.91730353e-02, 8.51761222e-01, -5.26712000e-01, 7.39000000e+02, 1.48821139e-01
-5.50342443e-01, -4.38857155e-01, -5.11401466e-01, 1.46013529e+02, 1.00179672e-01, 8.56788099e-01, -7.16982305e-01, 7.39000000e+02, 1.51356241e-01
